text,size,topic
like,829,18
even,779,18
young,777,18
feel,760,18
ladi,742,18
just,696,18
go,676,18
now,674,18
must,657,18
one,652,18
think,591,18
come,581,18
will,559,18
look,540,18
said,523,18
way,521,18
woman,516,18
make,515,18
time,505,18
man,503,18
see,502,18
know,457,18
might,441,18
thought,441,18
say,440,18
repli,431,18
captain,411,18
well,382,18
thing,376,18
mother,366,18
though,357,18
still,357,18
find,355,18
letter,355,18
away,354,18
want,351,18
back,346,18
never,339,18
place,333,18
realli,326,18
nun,315,18
daughter,315,18
seem,314,18
heart,310,18
happen,306,18
much,304,18
take,303,18
can,303,18
tell,303,18
felt,302,18
may,294,18
told,292,18
heard,288,18
attend,288,18
littl,285,18
noth,277,18
tri,276,18
sinc,275,18
peopl,275,18
night,273,18
princess,270,18
get,267,18
old,266,18
made,265,18
someon,260,18
speak,259,18
ask,258,18
girl,258,18
keep,257,18
sister,256,18
matter,254,18
let,250,18
mistress,247,18
nurs,244,18
long,243,18
day,242,18
call,240,18
move,240,18
live,234,18
major,232,18
lord,231,18
leav,230,18
mind,229,18
hear,229,18
dont,228,18
alway,226,18
women,223,18
ill,222,18
resid,213,18
governor,210,18
situat,210,18
someth,208,18
howev,206,18
word,205,18
capit,204,18
wonder,204,18
found,203,18
turn,201,18
face,199,18
bishop,199,18
