text,size,topic
kozeri,1670,12
agemaki,1390,12
feel,546,12
time,515,12
howev,514,12
made,499,12
one,487,12
present,486,12
inde,467,12
even,453,12
day,448,12
now,428,12
seem,427,12
upon,381,12
found,377,12
hachi,371,12
littl,361,12
night,359,12
first,354,12
felt,346,12
way,327,12
though,317,12
make,317,12
sister,316,12
women,316,12
began,308,12
poem,306,12
came,301,12
never,300,12
room,297,12
busi,292,12
might,290,12
great,279,12
go,276,12
without,274,12
whole,270,12
much,270,12
case,269,12
look,268,12
like,264,12
everi,260,12
read,259,12
face,257,12
put,257,12
among,252,12
thought,251,12
enough,248,12
princ,247,12
everyon,246,12
give,242,12
caus,241,12
world,238,12
allow,237,12
mean,230,12
well,227,12
end,226,12
far,225,12
two,221,12
old,220,12
becam,218,12
show,217,12
use,216,12
determin,214,12
chines,211,12
also,209,12
good,206,12
second,203,12
still,201,12
friend,201,12
noth,198,12
said,198,12
heart,198,12
consider,198,12
effort,197,12
knew,196,12
hope,194,12
right,194,12
best,191,12
will,183,12
peopl,182,12
close,182,12
see,181,12
thing,181,12
life,177,12
capit,177,12
help,175,12
sit,173,12
kind,171,12
wonder,169,12
last,167,12
matter,166,12
must,164,12
dawn,162,12
snow,161,12
difficulti,160,12
spring,160,12
get,159,12
wind,157,12
affair,155,12
complet,154,12
